;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Referencia;Nombre;Categoría;Contenido paquete;Composición del material;Nombre de la marca;2022Año;Estación;Unidad de venta;Color;Talla;Stock;N° de piezas fuera de unidad de stock;Pedido;Reserva de proveedor (cantidad de artículos individuales);Preventa;Preventa (cantidad de artículos individuales);Código de barras;Peso (en gramos);Ubicación;Precio de compra;Proveedor;Precio A;Precio B;Precio C;Precio D;Precio Promoción;País de origen;Descuento (%);Observación;Cantidad de compras;Ventas;Importe de venta;Margen €;Precio medio de venta;Precio de compra del stock positivos;Valor de stock;Stock precio A;Fecha de creación
KU1805;;Sin categoría;;;;;VERANO;1;ROSA;;10;0;0;0;0;0;2027290004758;0;;0;;9,9;9,9;9,9;0;0;;;;0;2;19,8;19,8;9,9;0;0;99;2026-06-05
KU1805;;Sin categoría;;;;;VERANO;1;AMARILLO;;10;0;0;0;0;0;2027290005313;0;;0;;9,9;9,9;9,9;0;0;;;;0;0;0;0;0;0;0;99;2026-06-05
KU1805;;Sin categoría;;;;;VERANO;1;AZUL;;10;0;0;0;0;0;2027290005314;0;;0;;9,9;9,9;9,9;0;0;;;;0;0;0;0;0;0;0;99;2026-06-05
KU1805;;Sin categoría;;;;;VERANO;1;SALMÓN;;10;0;0;0;0;0;2027290005315;0;;0;;9,9;9,9;9,9;0;0;;;;0;0;0;0;0;0;0;99;2026-06-05
KU1805;;Sin categoría;;;;;VERANO;1;LILA;;10;0;0;0;0;0;2027290005316;0;;0;;9,9;9,9;9,9;0;0;;;;0;0;0;0;0;0;0;99;2026-06-05
KU2182;;Sin categoría;;;;;VERANO;1;BLANCO;;7;0;0;0;0;0;2027290004776;0;;0;;10;10;10;0;0;;;;0;3;43,5;43,5;14,5;0;0;70;2026-06-05
KU2182;;Sin categoría;;;;;VERANO;1;CAMEL;;10;0;0;0;0;0;2027290005302;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU2105;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290004771;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU2282;;Sin categoría;;;;;VERANO;1;BLANCO;;9;0;0;0;0;0;2027290004780;0;;0;;12;12;12;0;0;;;;0;1;16,5;16,5;16,5;0;0;108;2026-06-05
KU2282;;Sin categoría;;;;;VERANO;1;CAMEL;;0;0;0;0;0;0;2027290005298;0;;0;;12;12;12;0;0;;;;0;0;0;0;0;0;0;0;2026-06-05
KU743;;Sin categoría;;;;;VERANO;1;BLANCO;;4;0;0;0;0;0;2027290005155;0;;0;;12;12;12;0;0;;;;0;35;261;261;7,46;0;0;48;2026-06-26
KU743;;Sin categoría;;;;;VERANO;1;NARANJA;;4;0;0;0;0;0;2027290005309;0;;0;;12;12;12;0;0;;;;0;6;33;33;5,5;0;0;48;2026-06-26
KU2150;;Sin categoría;;;;;;1;VERDE CLARO;;10;0;0;0;0;0;2027290005238;0;;0;;11;11;11;0;0;;;;0;0;0;0;0;0;0;110;2026-06-28
KU2150;;Sin categoría;;;;;;1;AZUL;;10;0;0;0;0;0;2027290005303;0;;0;;11;11;11;0;0;;;;0;0;0;0;0;0;0;110;2026-06-28
KU598;;Sin categoría;;;;;VERANO;1;VERDE;;9;0;0;0;0;0;2027290004768;0;;0;;10;10;10;0;0;;;;0;1;10;10;10;0;0;90;2026-06-05
KU598;;Sin categoría;;;;;VERANO;1;CAMEL;;10;0;0;0;0;0;2027290004769;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU598;;Sin categoría;;;;;VERANO;1;BLANCO;;0;0;0;0;0;0;2027290005180;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;0;2026-06-05
KU3190;;Sin categoría;;;;;VERANO;1;NEGRO;;6;0;0;0;0;0;2027290005157;0;;0;;12;12;12;0;0;;;;0;6;46;46;7,67;0;0;72;2026-06-26
KU3190;;Sin categoría;;;;;VERANO;1;CAMEL;;5;0;0;0;0;0;2027290005158;0;;0;;12;12;12;0;0;;;;0;8;64;64;8;0;0;60;2026-06-26
KU3190;;Sin categoría;;;;;VERANO;1;VERDE;;4;0;0;0;0;0;2027290005308;0;;0;;12;12;12;0;0;;;;0;6;40;40;6,67;0;0;48;2026-06-26
KU591;;Sin categoría;;;;;VERANO;1;ROSA FUXIA;;10;0;0;0;0;0;2027290005178;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-26
KU2285;;Sin categoría;;;;;VERANO;1;VERDE AGUA;;6;0;0;0;0;0;2027290005176;0;;0;;12;12;12;0;0;;;;0;4;22;22;5,5;0;0;72;2026-06-26
KU2285;;Sin categoría;;;;;VERANO;1;VERDE OLIVA;;5;0;0;0;0;0;2027290005185;0;;0;;12;12;12;0;0;;;;0;5;34;34;6,8;0;0;60;2026-06-26
