Nombre;Referencia;categoria;Estacion;Color;Precio
de estilo rosa;KU771;VESTIDO CORTO;VERANO;AMARILLO;12
de estilo rosa;KU771;VESTIDO CORTO;VERANO;AZUL;12
De tirantes;RA10561;VESTIDO;VERANO;ROSA;12,5
De tirantes;RA10561;VESTIDO;VERANO;AZUL;12,5
De tirantes;RA10561;VESTIDO;VERANO;SALMON;12,5
De tirantes;RA10561;VESTIDO;VERANO;VERDE OLIVA;12,5
solida monocolor;RA85057;BLUSA;VERANO;LILA;9,5
solida monocolor;RA85057;BLUSA;VERANO;ROSA PALO;9,5
solida monocolor;RA85057;BLUSA;VERANO;NEGRO;9,5
solida monocolor;RA85057;BLUSA;VERANO;VERDE;9,5
con degradado;RA12651;VESTIDO;VERANO;ROSA;10,5
con degradado;RA12651;VESTIDO;VERANO;AMARILLO;10,5
con degradado;RA12651;VESTIDO;VERANO;AZUL;10,5
con degradado;RA12651;VESTIDO;VERANO;ROSA PALO;10,5
con decoracion;RA10371;VESTIDO;VERANO;ROSA;13,5
con decoracion;RA10371;VESTIDO;VERANO;AMARILLO;13,5
con decoracion;RA10371;VESTIDO;VERANO;SALMON;13,5
con decoracion;RA10371;VESTIDO;VERANO;MULTICOLOR 4;13,5
con decoracion;RA10371;VESTIDO;VERANO;MULTICOLOR 5;13,5
con bicolor;RA3051;VESTIDO;VERANO;ROSA;10,5
con bicolor;RA3051;VESTIDO;VERANO;AZUL;10,5
con bicolor;RA3051;VESTIDO;VERANO;ROSA FUXIA;10,5
con bicolor;RA3051;VESTIDO;VERANO;NARANJA;10,5
con bicolor;RA3051;VESTIDO;VERANO;VERDE AGUA;10,5
con estampado;RA11321;VESTIDO;VERANO;ROSA;12,5
con estampado;RA11321;VESTIDO;VERANO;SALMON;12,5
con estampado;RA11321;VESTIDO;VERANO;VERDE;12,5
con estampado;RA11571;VESTIDO;VERANO;VERDE;10,5
con estampado;RA11571;VESTIDO;VERANO;AZUL;10,5
con estampado;RA11571;VESTIDO;VERANO;ROJO;10,5
con estampado;RA11571;VESTIDO;VERANO;ROSA PALO;10,5
con bordado por capas;RA14511;VESTIDO;VERANO;BLANCO;13,5
con dibujos de flores;RA13161;VESTIDO;VERANO;ROSA;13,5
con dibujos de flores;RA13161;VESTIDO;VERANO;VERDE;13,5
con dibujos de flores;RA13161;VESTIDO;VERANO;BEIGE;13,5
con dibujos de flores;RA10801;VESTIDO;VERANO;ROSA;11,5
con dibujos de flores;RA10801;VESTIDO;VERANO;BEIGE;11,5
con dibujos de flores;RA10801;VESTIDO;VERANO;AZUL;11,5
con dibujos de flores;RA10801;VESTIDO;VERANO;VERDE;11,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;AZUL;12,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;AMARILLO;12,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;VERDE;12,5
monocolor de tirantes;RA10322;VESTIDO CORTO;VERANO;CHOCOLATE;12,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;ROSA;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;CAMEL;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;AZUL;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;AMARILLO;14,5
monocolor de tirantes;RA10321;VESTIDO;VERANO;NEGRO;14,5
con estampado;RA2033;VESTIDO;VERANO;ROSA;10,5
con estampado;RA2033;VESTIDO;VERANO;VERDE OLIVA;10,5
con estampado;RA2033;VESTIDO;VERANO;NEGRO;10,5
con estampado;RA2033;VESTIDO;VERANO;AMARILLO;10,5
con estampado;RA11322;VESTIDO CORTO;VERANO;VERDE OLIVA;11,5
con estampado;RA11322;VESTIDO CORTO;VERANO;AZUL;11,5
con estampado;RA11322;VESTIDO CORTO;VERANO;ROSA FUXIA;11,5
con estampado;RA11322;VESTIDO CORTO;VERANO;SALMON;11,5
